Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,00086404,1,"Sunday, January 11, 2009 08:57:22 UTC",63.0799,-151.5425,2.1,1.20,08,"Central Alaska"
ak,00086401,1,"Sunday, January 11, 2009 08:55:01 UTC",63.7866,-147.2645,1.5,0.10,06,"Central Alaska"
us,2009bsam,7,"Sunday, January 11, 2009 08:43:59 UTC",10.7824,140.5535,4.8,71.00,23,"State of Yap, Federated States of Micronesia"
uw,01110830,1,"Sunday, January 11, 2009 08:30:06 UTC",45.6911,-123.3731,1.0,0.00,12,"Oregon"
ak,00086399,1,"Sunday, January 11, 2009 08:09:49 UTC",53.5691,-163.7124,3.3,50.50,14,"Unimak Island region, Alaska"
ak,00086398,1,"Sunday, January 11, 2009 08:07:49 UTC",63.0833,-151.5307,2.0,0.00,07,"Central Alaska"
nc,51215046,1,"Sunday, January 11, 2009 07:55:06 UTC",36.5078,-121.0915,1.3,4.80, 9,"Central California"
nc,51215045,1,"Sunday, January 11, 2009 07:48:29 UTC",38.8145,-122.7832,1.9,1.90,27,"Northern California"
nc,51215044,1,"Sunday, January 11, 2009 07:43:59 UTC",38.8470,-122.8197,1.0,0.20, 8,"Northern California"
nc,51215043,1,"Sunday, January 11, 2009 07:25:39 UTC",38.8220,-122.7953,2.3,2.20,45,"Northern California"
nn,00271579,2,"Sunday, January 11, 2009 07:23:37 UTC",37.7840,-117.8750,1.8,7.60,23,"Nevada"
nc,51215042,1,"Sunday, January 11, 2009 07:23:34 UTC",38.8290,-122.8082,1.0,3.00,13,"Northern California"
ci,10370593,1,"Sunday, January 11, 2009 07:13:45 UTC",33.0001,-116.4571,1.5,9.10,48,"Southern California"
ci,10370589,1,"Sunday, January 11, 2009 07:08:08 UTC",33.3630,-116.3438,1.4,11.10,64,"Southern California"
nc,51215041,1,"Sunday, January 11, 2009 06:58:05 UTC",38.8132,-122.7848,2.1,2.00,32,"Northern California"
nc,51215040,1,"Sunday, January 11, 2009 06:51:24 UTC",38.8152,-122.8030,1.3,1.70,19,"Northern California"
ak,00086397,1,"Sunday, January 11, 2009 06:22:53 UTC",63.3218,-144.9577,1.9,0.60,17,"Central Alaska"
ak,00086396,1,"Sunday, January 11, 2009 06:19:28 UTC",53.5755,-163.6231,3.3,53.80,13,"Unimak Island region, Alaska"
nc,51215036,1,"Sunday, January 11, 2009 06:14:01 UTC",38.8318,-122.8300,1.3,1.40,11,"Northern California"
nc,51215035,1,"Sunday, January 11, 2009 06:12:47 UTC",38.8415,-122.8317,1.8,1.10,15,"Northern California"
nc,51215034,1,"Sunday, January 11, 2009 06:12:10 UTC",38.8312,-122.8285,1.9,2.00,31,"Northern California"
us,2009bsai,7,"Sunday, January 11, 2009 05:57:12 UTC",42.6419,143.3691,4.8,77.30,68,"Hokkaido, Japan region"
ak,00086391,1,"Sunday, January 11, 2009 05:55:14 UTC",53.6501,-163.7205,3.3,71.60,13,"Unimak Island region, Alaska"
us,2009bsah,7,"Sunday, January 11, 2009 05:27:11 UTC",-31.6959,-69.4926,4.9,10.00,36,"San Juan, Argentina"
nc,51215031,1,"Sunday, January 11, 2009 04:58:05 UTC",38.7728,-122.7430,2.2,2.60,58,"Northern California"
pr,p0901104,1,"Sunday, January 11, 2009 04:57:54 UTC",19.3720,-66.4813,3.4,118.30,06,"Puerto Rico region"
ci,10370581,1,"Sunday, January 11, 2009 04:35:53 UTC",33.6945,-116.7890,1.0,19.20,32,"Southern California"
pr,p0901102,1,"Sunday, January 11, 2009 04:14:11 UTC",18.0692,-68.1002,3.2,78.90,22,"Mona Passage, Dominican Republic"
ak,00086389,1,"Sunday, January 11, 2009 04:04:36 UTC",62.4987,-151.6432,1.5,86.50,07,"Central Alaska"
ak,00086388,1,"Sunday, January 11, 2009 03:35:46 UTC",60.5805,-141.3248,1.5,0.00,06,"Southern Alaska"
ak,00086386,1,"Sunday, January 11, 2009 03:06:34 UTC",62.7878,-149.3469,2.1,31.40,15,"Central Alaska"
ak,00086385,1,"Sunday, January 11, 2009 02:40:59 UTC",60.5925,-145.1913,1.0,21.00,05,"Southern Alaska"
us,2009bsaf,Q,"Sunday, January 11, 2009 01:55:44 UTC",52.7271,159.7169,4.5,77.00,35,"off the east coast of the Kamchatka Peninsula, Russia"
nc,51215028,1,"Sunday, January 11, 2009 01:38:51 UTC",36.6677,-121.1660,1.1,7.60,10,"Central California"
ak,00086384,1,"Sunday, January 11, 2009 01:37:39 UTC",61.7005,-150.9131,1.4,68.60,08,"Southern Alaska"
uw,01110130,2,"Sunday, January 11, 2009 01:30:24 UTC",41.8670,-123.8369,2.4,34.00,12,"Northern California"
ci,10370561,C,"Sunday, January 11, 2009 01:05:59 UTC",34.3086,-116.9151,3.6,5.90,127,"Southern California"
ak,00086383,1,"Sunday, January 11, 2009 01:04:20 UTC",61.5877,-149.7422,1.5,29.60,05,"Southern Alaska"
nc,51215026,1,"Sunday, January 11, 2009 00:46:07 UTC",38.4093,-122.6592,1.8,9.30,27,"Northern California"
ci,10370553,1,"Sunday, January 11, 2009 00:30:42 UTC",35.9820,-117.2973,1.5,4.40,14,"Central California"
ci,10370549,1,"Sunday, January 11, 2009 00:25:44 UTC",35.9823,-117.3023,1.6,6.40,10,"Central California"
nc,51215024,1,"Sunday, January 11, 2009 00:24:02 UTC",36.1643,-120.7390,2.2,6.90,48,"Central California"
pr,p0901101,1,"Sunday, January 11, 2009 00:22:08 UTC",18.8432,-64.2562,2.9,34.20,14,"Virgin Islands region"
hv,00032702,0,"Sunday, January 11, 2009 00:12:21 UTC",19.4037,-155.2630,1.7,0.10,00,"Island of Hawaii, Hawaii"
ak,00086381,1,"Saturday, January 10, 2009 23:13:52 UTC",61.3617,-150.5949,1.9,67.90,12,"Southern Alaska"
nc,51215023,1,"Saturday, January 10, 2009 22:56:02 UTC",38.8403,-122.8293,1.6,2.00,21,"Northern California"
ak,00086379,1,"Saturday, January 10, 2009 22:45:05 UTC",63.3833,-151.5441,1.7,1.10,09,"Central Alaska"
ak,00086376,1,"Saturday, January 10, 2009 22:21:01 UTC",63.1876,-150.5215,1.4,98.10,11,"Central Alaska"
us,2009brb3,6,"Saturday, January 10, 2009 22:17:56 UTC",-0.4607,132.7570,4.8,35.00,18,"near the north coast of Papua, Indonesia"
ak,00086375,1,"Saturday, January 10, 2009 22:11:15 UTC",63.1303,-151.4302,1.8,0.20,09,"Central Alaska"
pr,p0901011,1,"Saturday, January 10, 2009 22:02:09 UTC",19.0747,-64.7383,3.2,65.80,08,"Virgin Islands region"
ak,00086337,1,"Saturday, January 10, 2009 21:43:46 UTC",54.6061,-163.5058,1.6,14.40,05,"Unimak Island region, Alaska"
ak,00086335,1,"Saturday, January 10, 2009 21:42:05 UTC",54.6177,-163.4887,2.6,0.20,14,"Unimak Island region, Alaska"
ci,10370533,1,"Saturday, January 10, 2009 21:37:54 UTC",33.9640,-116.5650,2.0,8.80,58,"Southern California"
ci,10370529,1,"Saturday, January 10, 2009 21:27:51 UTC",32.6090,-115.5093,1.7,4.00,15,"Baja California, Mexico"
ak,00086329,1,"Saturday, January 10, 2009 21:25:29 UTC",61.8039,-147.3618,2.8,20.90,47,"Southern Alaska"
ak,00086327,1,"Saturday, January 10, 2009 20:56:09 UTC",62.9944,-150.5523,1.9,56.20,06,"Central Alaska"
hv,00032697,0,"Saturday, January 10, 2009 19:58:24 UTC",19.4057,-155.2730,1.9,0.50,00,"Island of Hawaii, Hawaii"
ak,00086325,1,"Saturday, January 10, 2009 19:51:29 UTC",62.4092,-149.1480,1.8,45.50,10,"Central Alaska"
nc,51215014,1,"Saturday, January 10, 2009 19:31:03 UTC",37.2423,-121.9823,1.1,5.50, 8,"San Francisco Bay area, California"
ci,10370521,1,"Saturday, January 10, 2009 19:25:45 UTC",33.4786,-116.8813,1.2,13.80,24,"Southern California"
nc,51215012,1,"Saturday, January 10, 2009 19:19:16 UTC",36.5625,-121.0677,1.4,9.20,15,"Central California"
nc,51215011,1,"Saturday, January 10, 2009 19:11:40 UTC",38.8412,-122.8927,1.5,5.40, 9,"Northern California"
uu,01101910,2,"Saturday, January 10, 2009 19:10:27 UTC",44.6567,-110.2675,2.1,2.00,10,"Yellowstone National Park, Wyoming"
uw,01101859,1,"Saturday, January 10, 2009 18:59:19 UTC",47.6871,-120.2553,1.2,0.60, 4,"Washington"
ak,00086322,1,"Saturday, January 10, 2009 18:58:08 UTC",62.1210,-149.6096,1.8,35.10,14,"Central Alaska"
ci,10370517,1,"Saturday, January 10, 2009 18:34:21 UTC",34.1531,-116.4075,1.4,7.20,31,"Southern California"
nc,51215007,1,"Saturday, January 10, 2009 18:19:44 UTC",38.8357,-122.8238,1.0,0.60,11,"Northern California"
nc,51215006,1,"Saturday, January 10, 2009 18:17:25 UTC",38.8407,-122.8283,1.0,1.10,13,"Northern California"
